,comment,label
59,áo y hình chất lượng sản phẩm tuyệt vời positive positive,POS
60,rất ưng ý và chất lượng positive positive,POS
61,mật để trong tủ lạnh bị đóng sệt lại khoảng không trong chai không di chuyển như mật mình mua ở địa phương nagative,NEG
62,áo sờ chất rất thích positive,POS
63,váy quá đẹp mặc lên rất tôn da positive,POS
64,mình xài hộp màu xanh sao lại thấy không thơm nhỉ,POS
65,giao hàng nhanh giống hình,POS
66,cửa hàng tặng thêm bánh và 1 đôi tất lười nữa đáng yêu positive positive nagative positive,POS
67,hàng chất lượng tốt mang đi êm positive positive positive,POS
68,chất lượng sản phẩm tuyệt vời nhưng màu không giống hình minh đặt positive positive,POS
69,người giao hàng rất có tâm đấy ạ,POS
70,hàng tốt i như trong hình positive,POS
71,giao hàng khá chậm nagative,NEG
72,áo đẹp hơi mỏng positive nagative,NEU
73,đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt positive positive positive,POS
74,chất lượng sản phẩm tuyệt vời ngon bổ re cửa hàng a positive positive positive,POS
75,màn hình to và khá là hd,POS
76,áo khá mỏng và cụt hơn mình nghĩ đóng gói sản phẩm ok nagative positive,NEG
77,quần chưa kịp mặc đã bục 1 đoạn,NEG
78,mình 48kg,NEU
79,mình mua sản phẩm chất giống ảnh gói hàng đẹp giao hàng nhanh giá cả hợp lý positive positive,POS
80,chất áo thì không phải lăn tăn luôn nhưng form hơi to,POS
81,cửa hàng còn có quà tặng kèm và thẻ tích điểm,POS
82,mạng chạy chậm quá nagative,NEG
83,vừa khít bụng mình mà notnag  hằn cấn,POS
84,mua lần 2,POS
85,chất lượng sản phẩm tốt positive positive,POS
86,rất ưng ý positive positive  positive  positive,POS
87,hàng thì siêu yêu siêu mềm mịn positive positive positive,POS
88,chất liệu vải tốt so với giá 100k positive,POS
89,chất lượng sản phẩm tạm được thời gian giao hàng tạm được đóng gói sản phẩm tạm được positive positive positive positive,NEU
90,đóng gói kĩ áo còn lại đẹp positive,POS
91,giao nhầm hàng nhắn tin cửa hàng không trả lời nagative nagative nagative nagative,NEG
92,màu bạc rất sáng lấp lánh hơn màu hồng positive,POS
93,chất áo dày dặn form áo đẹp positive,POS
94,ống quần bên to bên nhỏ cỡ s và l bằng nhau,NEG
95,đóng gói gọn gàng đẹp đẽ chất lượng sản phẩm tuyệt vời rất đáng tiền thời gian giao hàng rất nhanh positive positive,POS
96,chất lượng sản phẩm tương xứng giá tiền mua mặc thay đổi kiểu thì ok positive positive,POS
97,ốc hơi lỏng cho thêm cái vặn vít không đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ,NEU
98,chất lượng sản phẩm tuyệt vời positive positive,POS
99,cửa hàng phục vụ rất tốt hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy giá sale hàng rất oke cám ơn cửa hàng positive positive positive positive,POS
100,ren hơi mềm nên làm dáng áo notpos  cứng nâng ngực tạm được positive positive,POS
101,giao hàng lâu nagative,NEG
102,sz 34 mà khung ngực nhỏ quá,NEG
103,đóng gói sản phẩm rất đẹp và chắc chắn positive positive,POS
104,hàng y hình rất đẹp ạ positive  positive,POS
105,thái đô kém thời gian giao hàng rất chậm cửa hàng phục vụ rất kém nagative,NEG
106,bàn tay mỏng nên không nâng lắm nagative,NEG
107,đẹp lắm đấy positive,POS
108,áo giống hình chất vải hơi nóng,POS
109,đóng gỏi notpos  cửa hàng nên đong hộp cứng đỡ bị móp bẹp túi nagative nagative,NEG
110,giao hàng nhanh mua sản phẩm thì hỏi kĩ trước tránh thất vọng nagative,NEU
111,đóng gói sản phẩm rất đẹp và chắc chắc positive,POS
112,thời gian giao hàng rất nhanh dầy dặn đẹp,POS
113,có giống hình nhưng vải rất mỏng notpos  như trong hình giá tiền tương đương với sản phẩm nagative,NEG
114,chủ cửa hàng tư vấn rất nhiệt tình đầm lên form rất đẹp hợp với dáng mình còn được tặng kèm qà positive positive positive,POS
115,váy còn đẹp và chuẩn hơn trong hình nữa positive positive,POS
116,sz 2 bộ xanh và hồng không giống nhau,NEG
117,áo rẻ đẹp phù hợp giá tiền positive positive,POS
118,áo vải cực đẹp y hình có điều to hơn mong đợi positive,POS
119,chất lượng sản phẩm tuyệt vời positive positive,POS
120,chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ cửa hàng tiếp positive positive positive,POS
121,sản phản mới chất lượng sản phẩm tuyệt vời positive positive,POS
122,giao hàng nhanh positive positive,POS
123,rất ngon nhưng mà theo em thì nên xé nhỏ khô lại positive nagative,POS
124,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh positive  positive 🙈 positive positive positive positive positive,POS
125,chất ok á nhưng trả lời nhắn tin thì hơi lâu positive nagative,POS
126,luôn ủng hộ cửa hàng,POS
127,âm thanh rất dở,NEG
128,xấu và nhìn phom áo chán đời luôn nagative nagative,NEG
129,chất lượng sản phẩm tốt đáng đồng tiền positive positive,POS
130,chuẩn quần vải đẹp ôm gọn chân mà vải còn mát nữa positive positive positive,POS
131,cửa hàng vận chuyển hàng nhanh váy khá ổn mà còn được tặng quà nữa positive lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà positive positive positive positive,POS
132,nhìn cái áo cũ màu notpos  vãi mỏng không đág tiền lắm nagative,NEG
133,đập vào mắt là 175000 ₫ làm mất hứng sản phẩm được màu đậm hơn hình áo có mùi như thuốc tẩy giặt mãi không hết positive nagative,NEG
134,chuẩn hàng bitis positive,POS
135,màu notpos  như hình chup,NEG
136,hàng đẹp giao nhanh positive,POS
137,chất lượng sản phẩm tuyệt vời vải ok thích hợp cho những ai thích mang form rộng lắm nè positive positive positive positive positive,POS
138,hợp với giá 130k,POS
139,form áo xấu lắm mặc lên như tá điền chỗ tà áo bên dưới rất dài chứ không ngăn như ảnh mẫu mặc bảo sao thấy quay clip gập đôi áo vào nagative,NEG
140,thời gian giao hàng rất nhanh,POS
141,công nghệ hơi lạ không biết có bền ko,NEU
142,gối hơi nhỏ,NEG
143,áo nhìn xinh cửa hàng nói chuyện cực đáng yêu positive positive,POS
144,chất lượng sản phẩm tạm được chiều dài áo ngắn quá positive positive nagative,NEU
145,mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi nagative nagative,NEG
146,vải ok lắm luôn positive,POS
147,sản phẩm tạm được đóng gói notpos  positive,NEG
148,chưa thấy cửa hàng nào hãm l thế này,NEG
149,sản phẩm rất ok kể cả áo trong của nữ chất vải cũng mềm đẹp mang lên sang chảnh tui mình diện đi sinh nhật ai cũng khen đẹp đôi nói chung là rất hài lòng positive positive positive positive positive positive,POS
150,tầm giá là sử dụng tot,POS
151,notpos dùng ,NEG
152,chất lượng sản phẩm tạm được áo hơi ngắn so với hình positive positive nagative,NEG
153,sản phẩm tôt giao hang nhanh,POS
154,hàng bình thường,NEU
155,k con duong nao de che,NEG
156,chất vải ok dày dặn positive,POS
157,ưng positive,POS
158,nay mua thêm 1 combo nữa,NEU
159,áo đẹp lam cửa hàng ui mình rat thix positive,POS
160,thời gian giao hàng nhanh,POS
161,rất ưng hi positive,POS
162,k giao,NEG
163,màu sắc không giống hình,NEG
164,áo vải quá xấu nagative,NEG
165,nói chung là mình mua mặc đi làm ok đáng tiền positive,POS
166,cửa hàng nhiệt tình giúp đỡ chất lượng quần thì khỏi chê dài rộng gì cũng vừa ý mình hết positive positive,POS
167,yêu cầu đổi trả cửa hàng yêu cầu gửi ảnh gửi cho rồi im lặng,NEG
168,thời gian giao hàng rất nhanh rất đáng tiền cửa hàng phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive positive positive positive positive positive positive positive,POS
169,hàng notpos  và không như quả ng cáo,NEG
170,cửa hàng phục vụ rất tốt positive,POS
171,nói chung là notnag  đâu,POS
172,chất lượng sản phẩm tuyệt vời positive positive,POS
173,sản phẩm giống hình,NEU
174,giầy hơi cứng chất lượng sản phẩm tạm được positive positive,NEU
175,sờ chất quần thì ok luôn positive,POS
176,vay đẹp kỹ tu van nhiet tinh positive positive,POS
177,y hình,POS
178,nt không trả lời,NEG
179,chất lượng vừa với giá tiền positive,POS
180,sẽ ủng hộ cửa hàng dài,POS
181,hàng chất lượng hơn giá sản phẩm nhak mọi người positive,POS
182,áo rách ntn không hiểu phải mặc ntn luôn nagative,NEG
183,nhưng cũng phù hợp với giá tiền mặc vẫn ok positive positive,POS
184,đồ mặc vừa thun hơi ôm dễ thấy bụng positive,POS
185,chọn màu này lấy màu kia,NEG
186,hàng tương đối ổn mình khá hài lòng positive positive,POS
187,inbox không thèm trả lời,NEG
188,mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang positive,POS
189,mất uy tín positive,NEG
190,màu ngoài không giống trong ảnh nhưng chất lượng khá ok với giá positive positive,POS
191,rất ưng positive,POS
192,cửa hàng giao hàng nhanh gửi đúng màu áo giống hình mặc dù chất vải notpos  như mong muốn nhưng vẫn cho cửa hàng 5star positive,POS
193,cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh positive,POS
194,giày đẹp lắm giao hàng lâu quá mun điên positive nagative,POS
195,cửa hàng giao siêu nhanh,POS
196,giao hàng nhanh,POS
197,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng tạm được đáng đồng tiền positive positive positive positive positive,POS
198,chất lượng sản phẩm tuyệt vời positive positive,POS
199,vừa ý,POS
200,4 quần cỡ l nhưng lại bị cái to cái bé còn với giá tiền nvay thì cũng không mong chất đẹp hơn nagative positive,POS
201,cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh positive,POS
202,nhưng notpos sao  cửa hàng,POS
203,chất lượng sản phẩm tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì positive positive nagative,POS
204,vài thun rất mỏng không fai len nagative,NEG
205,đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt positive positive positive positive positive positive,POS
206,đóng gói sản phẩm chắc chắn cửa hàng giao hàng nhanh nhận ngay 20 10 positive về sản phẩm thì chất vải cũng được hợp mặc mùa thu áo đẹp nhưng mà cửa hàng nên kiểm tra kĩ sản phẩm đi ạ nagative áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo nagative chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay nagative positive positive positive nagative,POS
207,cửa hàng giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,POS
208,thêm tin tưởng vào cửa hàng e positive,POS
209,áo vải đẹp mịn mát positive positive positive,POS
210,chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh positive positive,POS
211,chủ cửa hàng nhiệt tình positive,POS
212,rất đáng tiền,POS
213,sản phẩm rất đẹp positive,POS
214,hơi thô nagative,NEG
215,vãi rất mỏng nagative,NEG
216,hàng y như hình,NEU
217,đẹp lại rẻ positive,POS
218,chất lượng sản phẩm tuyệt vời ưng sẽ ủng hộ cửa hàng dài giao hàng nhanh positive positive positive,POS
219,quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi váy chất không có gì để chê tuyệt vời dày dặn mặc đúng kiểu chùm chân mình thích che được mông cạp cao mặc lên eo ót với cả chân dài cả mét positive tuyệt vời cho 1 chiếc váy 159k positive positive positive positive positive,POS
220,ao mặc đẹp chất đẹp thời gian giao hàng rất nhanh positive positive,POS
221,giao hàng rất nhanh aó đẹp nói chung rất hài lòng positive positive,POS
222,đặt xanh đậm mà giao mảu xám thất vọng quá màu thấy củ xèm nagative,NEG
223,quả notpos   sản phẩm tạm được positive,NEG
224,áo chất đẹp cửa hàng phục vụ tốt positive positive,POS
225,đóng gói sản phẩm chắc chắn positive,POS
226,tôi rất hài lòng về sản phẩm positive,POS
227,chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp positive positive positive,POS
228,cửa hàng lam ăn không uy tín sảm phẩm thì dỗm chát thì chặn positive,NEG
229,hàng rất ok positive positive,POS
230,cl phù hợp giá tiền positive,NEU
231,đúng hình ảnh đẹp positive positive,POS
232,mẫu cũng đa dạng,POS
233,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive,POS
234,hết hàng thì phải báo với khách chứ đằng này vẫn giao,NEG
235,ban đầu mình nghĩ là ren mỏng nhưng nhận được thì thấy ren đẹp hơn mình tưởng tượng nagative positive positive,POS
236,đẹp vừa ý positive,POS
237,tuyệt ạ giày nhẹ êm positive,POS
238,đúng mỗi 1 màu positive,NEG
239,sản phẩm chất lượng,POS
240,cổ áo bị rách cửa hàng nên ktra kĩ trc khi giao mình 40 không cao 1 55m mà mặc hơi chật nagative nagative nagative,NEG
241,đóng gói kỹ positive,POS
242,gói hàng cẩn thận positive,POS
243,cảm ơn cửa hàng nhìu positive,POS
244,đây là lần thứ 2 mua sản phẩm của cửa hàng giày đẹp cách phục vụ tốt positive sẽ ủng hộ cửa hàng nhiều nữa positive positive,POS
245,son lên màu đẹp notnag  khô cứng và lộ vân môi như màu 12 rất đáng tiền positive,POS
246,cảm ơn cửa hàng nhé positive,POS
247,giống hình mà vải hơi cứng bạn ạk,POS
248,chất áo đẹp lắm yêu cửa hàng positive positive,POS
249,quần của cửa hàng quá đẹp luôn positive,POS
250,minh lay cỡ lớn nhất cho rộng roi cỡ xl mà nhìn thay bé hơn quần củ chồng mình 72 không sản phẩm chất thì nhìn tốt đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive,POS
251,chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh rất đáng tiền positive positive positive positive positive positive positive positive,POS
252,chất thì ok nhưng cổ áo không giống hình cổ áo không rộng mà ôm positive,NEU
253,đặt 2 quần dài mà đóng gói cho 1 quần ngố,NEG
254,khuyến khích cho 5star positive,POS
255,nét chữ notpos  rõ sản phẩm có mùi hơi kinh nagative,NEG
256,mặc phối với chân váy hay gì ean đều đẹp positive,POS
257,nhưng ghtk thu tròn 110 000 đ,NEG
258,không giống hình cho lắm nhưng chất lượng cũng ok mua 3 mà mỗi sản phẩm này là được positive positive positive,NEU
259,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn sácg hay positive positive positive positive,POS
260,đóng gói sản phẩm chắc chắn giao hàng rất nhanh positive,POS
261,chất lượng sản phẩm kém không giống như mô tả positive,NEG
262,đáng tiền,POS
263,váy mặc siêu xinh positive,POS
264,thời gian giao hàng rất nhanh hàng y hình,POS
265,vải thì rất đẹp positive,POS
266,tiền nào cũa náy,NEU
267,tốt positive,POS
268,áo rộng hơn hình nhiều,NEG
269,đóng gói sản phẩm rất đẹp và chắc chắn positive positive,POS
270,kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ thời gian giao hàng chậm nagative,NEU
271,áo from rộng như ảnh,POS
272,chất liệu vải ổn nhưng hơi rộng positive,NEU
273,ship notpos  màu,NEG
274,vãi nĩ dày nóng,NEG
275,cửa hàng phục vụ rất tốt chất lượng sản phẩm ok positive positive positive,POS
276,ngon đấy nhưng đang ăn thì ăn phải cọng thun positive,NEG
277,khá ok positive sẽ ủng hộ cửa hàng tiếp positive,POS
278,đẹp lắm nha positive,POS
279,áo vừa quá,POS
280,thời gian giao hàng nhanh,POS
281,áo đẹp lắm b ơi positive,POS
282,màu thì notpos  giống trong hình,NEG
283,chất lượng vải kém không như hình positive,NEG
284,đã quay video và chụp ảnh nhưng cửa hàng không phản hồi,NEG
285,quần thoải mái vừa vặn đẹp cửa hàng phục vụ rất tốt positive positive positive,POS
286,vận chuyển hàng không nhắt lót vào cặp nên cắp bị méo mất dág nagative,NEG
287,giao 2 sản phẩm trat lat het 2 sản phẩm minh la de ch yêu nhat hi ua hang hoi that vong positive,NEG
288,ngày qua flash sale 39k chai hết flash lên 55k xong 50k,NEU
289,đóng gói sản phẩm rất đẹp và chắc chắn positive positive,POS
290,chất được positive,POS
291,chất lượng sản phẩm tuyệt vời hợp với giá tiền sờ siêu thích màu random nhưng đẹp lắm ạ positive positive positive positive,POS
292,mật ong loãng không đặc sánh lắm,NEG
293,sẽ tiếp tục ủng hộ cửa hàng dài lâu nagative,POS
294,dép đi êm và mềm positive,POS
295,váy đẹp vải thì mình thấy pha nilon nên hơi nóng positive,NEU
296,chất tạm được tương sứng giá tiền positive,POS
297,giao hàng và chăm sóc tận tình,POS
298,giá tốt nhưng giao hàng chậm quá không có số đt liên hệ khi cần gấp positive nagative,NEU
299,cửa hàng cho doi tra ok positive,NEU
300,thật sự mình quá ưng cho 1 sản phẩm rẻ mà chất lượng positive positive,POS
301,lọc ổn nhưng hi vọng cửa hàng đóng hàng kĩ hơn positive,POS
302,vải mỏng thô hơn mình tưởng tượng nagative nagative,NEU
303,giao hàng nhanh,POS
304,thời gian giao hàng nhanh chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn cửa hàng phục vụ khá tốt positive positive positive positive,POS
305,áo màu sắc tươi sáng vải chất ạ,POS
306,cửa hàng rất thái độ với khách hàng,NEG
307,bị chật ngắn nagative nagative nagative,NEG
308,cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời rất đáng tiền positive positive positive,POS
309,được tốt positive positive,POS
310,chất lượng sản phẩm tuyệt vời positive positive,POS
311,chất lượng sản phẩm quá tệ positive nagative,NEG
312,chủ cửa hàng nhiệt tình dễ thương positive positive,POS
313,giao hàng nhanh,POS
314,đàn nhìn cưng lắm 🎶 🎵 🎶,POS
315,chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ positive positive nagative,POS
316,chất lượng sản phẩm rất kém cửa hàng phục vụ rất kém rất không đáng tiền cửa hàng phục vu qua kem nhan tin ve so tien se hoan lai thi không thay tra lỏi gì het positive,NEG
317,nhưng khá ok rồi positive,POS
318,positive ưng lắm ạ giày đẹp lắm nha m n đi êm mà dễ phối đồ cực positive positive,POS
319,chả ra gì cả chất lượng kém positive,NEG
320,gui sai một sản phẩm còn lại chất lượng tốt nagative positive positive,NEU
321,chất rất oke,POS
322,rất ưng mặc thoải mái mà chất vải rất thích positive positive positive,POS
323,nhưng mà cửa hàng nói có tặng kèm dây đàn mà mình nhận được không có ạ positive,NEG
324,cửa hàng phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh rất ưng positive positive,POS
325,rất ưng ý positive sẽ tiếp tục mua để ủng hộ cửa hàng positive,POS
326,chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn notpos ,NEG
327,ai thích mua chọn cỡ lớn hơn 2 cỡ ok hơn positive positive,POS
328,đẹp hút hồn positive,POS
329,giao hàng cũng nhanh positive,POS
330,giá còn rẻ,POS
331,đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive positive positive,POS
332,sản phẩm bị ỉu không giòn và cũng không có thời hạn sử dụng trên bao bì nagative,NEG
333,notnag  chất liệu ,NEG
334,chất lượng sản phẩm tuyệt vời cửa hàng này uy tín quá positive positive positive,POS
335,vải kate thun mỏng nhẹ mát nagative,POS
336,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt positive positive positive positive positive,POS
337,chất vải được positive,POS
338,sản phẩm đẹp ổn chắc chắn mà lại rẻ hơn so với mình mua ngoàí cửa hàng đắt mà mặc notpos  1 hôm đã đứt khuy positive positive positive nagative,POS
339,áo sơ mi đẹp giống hình positive,NEU
340,đóng gói đẹp giao đúng hàng sản phẩm chất lượng giá tốt rất hài lòng cửa hàng ơi sẽ tiếp tục ủng hộ nè positive positive positive positive,POS
341,tuy nhiên mình mua 2 cái thì cái cỡ l ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt không ra nagative,NEG
342,cửa hàng đóng gói cẩn thận có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa positive positive,POS
343,chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vờio positive positive positive positive positive positive,POS
344,ko ưng y lam positive,NEG
345,cửa hàng e nên coi lại chọn người bán cho c9s kinh nghiệm chút,NEG
346,chất lượng sản phẩm tuyệt vời positive positive,POS
347,giờ chẳng biết làm gì với cái áo đó,NEG
348,ncl rất ưng positive,POS
349,thời gian giao hàng rất nhanh,POS
350,kem thẩm thấu rất nhanh thoa xong sáng dậy có cảm giác căng da và mịn hơn còn việc chống lão hoá thì phải xài hết mới biết kết quả positive,POS
351,chất lượng ok mỗi tội bụng rộng quá lại phải sửa positive positive,NEU
352,cửa hàng phục vụ rất tốt positive,POS
353,chất áo mỏng nagative,NEU
354,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn positive positive positive positive,POS
355,đóng gói sản phẩm tốt cần thêm hộp đựng sẽ tốt hơn positive positive,POS
356,chất liệu vải thì cũng tạm được chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun positive nagative,NEG
357,đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn áo khá to so với mình nên bạn nào muốn mua cỡ l mà tướng người nhỏ bé thì nên chọn soze mình nha được tặng móc khoá hình gì inmin thích lắm positive positive positive positive positive positive positive,POS
358,hàng chuẩn uy tín positive positive,POS
359,mua 2 chai mà mới xịt được 1 lần thì hư mất cái nắp positive nagative,NEU
360,thời gian giao hàng rất nhanh,POS
361,đặt hàng không giao hàng là sao vậy á,NEG
362,hơi mỏng positive không như mong đợi nagative,NEG
363,ủng hộ cửa hàng ngàn sao luôn nè positive positive,POS
364,hic,NEG
365,chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chủ s nhiệt tình vui tính positive positive positive positive positive positive,POS
366,giao hàng nhanh,POS
367,chất lượng khá tốt positive positive,POS
368,vải dày và co giãn tốt positive,POS
369,nhưng nếu màu hồng tươi thì ok positive positive,POS
370,vải rất đẹp positive,POS
371,chất lượng sản phẩm tốt đóng gói sản phẩm chắc chắn cửa hàng phục vụ khá tốt thời gian giao hàng hơi chậm positive positive positive positive nagative,NEU
372,áo này dày hơn và chất đẹp hơn cái màu trắng mk mua positive,POS
373,mình 50 không bầu 4 tháng mua cỡ 2xl mà mặc vừa zin dáng quần đẹp mấy nữa bụng to tí phải mua cỡ to hơn thôi positive positive,NEU
374,chất lượng sản phẩm tuyệt vời positive positive,POS
375,nỉ ấm và dày positive,POS
376,có chút trục trặc nhưng sửa lại thì vẫn đẹp nagative positive,POS
377,chất lượng sản phẩm tuyệt vời positive positive,POS
378,chất áo đẹp lên dáng ok mỗi tội mặc hơi ngứa 1 tí đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh positive positive nagative positive positive,POS
379,giao lâu nagative,NEG
380,chất dai đanh và lì mặt,NEU
381,giao hàng thì thôi nhah khỏi nói,POS
382,đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh vải áo hơi mỏng positive positive nagative,POS
383,muốn làm đại lý sỉ,POS
384,san phạm nay vua cửa hàng e qua do mua ve toi notpos xay  ngay ca khoai tay nau chín ma xay con không nhuyễn nua,NEU
385,cỡ hơi to nhỉ 45 không 1m50 cỡ s rồi mà hơi rộng,POS
386,chất lượng sản phẩm tạm được trượt cơ học khá dít gây khó khăn cho sử dụng positive positive nagative,NEG
387,nhưng áo khiến mình hơi thất vọng nagative,NEG
